customer_number,baskets,total_quantity,average_quantity,total_spend,average_spend
11433,762,849,1.1141732283464567,"£1,621.31",£2.13
9953,716,1006,1.4050279329608939,"£1,009.88",£1.41
12401,438,526,1.2009132420091324,£558.16,£1.27
5331,754,971,1.2877984084880637,"£1,104.01",£1.46
3845,286,393,1.3741258741258741,£304.00,£1.06
12398,263,424,1.6121673003802281,£455.70,£1.73
15544,674,766,1.1364985163204748,£666.10,£0.99
635,502,601,1.1972111553784861,£704.25,£1.40
11322,1251,1351,1.0799360511590727,"£1,978.46",£1.58
9946,699,823,1.1773962804005722,"£1,236.09",£1.77
6521,1668,2061,1.2356115107913669,"£2,703.97",£1.62
647,279,311,1.1146953405017921,£422.95,£1.52
646,184,217,1.1793478260869565,£263.53,£1.43
11886,163,171,1.0490797546012270,£448.15,£2.75
649,123,133,1.0813008130081301,£183.16,£1.49
12409,214,262,1.2242990654205607,£258.24,£1.21
5339,90,103,1.1444444444444444,£261.01,£2.90
5340,638,731,1.1457680250783699,£665.71,£1.04
8784,267,307,1.1498127340823970,£374.54,£1.40
14887,209,245,1.1722488038277512,£372.57,£1.78
5351,223,264,1.1838565022421525,£291.10,£1.31
9556,602,695,1.1544850498338870,"£1,363.15",£2.26
12412,344,432,1.2558139534883721,£495.06,£1.44
9968,835,986,1.1808383233532934,"£2,468.46",£2.96
3855,325,427,1.3138461538461538,£379.85,£1.17
652,342,406,1.1871345029239766,£370.01,£1.08
14891,606,623,1.0280528052805281,£588.57,£0.97
662,678,850,1.2536873156342183,£931.18,£1.37
14389,166,220,1.3253012048192771,£421.18,£2.54
6523,146,158,1.0821917808219178,£573.18,£3.93
655,658,713,1.0835866261398176,£857.38,£1.30
657,487,540,1.1088295687885010,£897.30,£1.84
14893,1569,1593,1.0152963671128107,"£1,426.47",£0.91
667,377,418,1.1087533156498674,£829.83,£2.20
12419,300,389,1.2966666666666667,£376.53,£1.26
5345,352,396,1.1250000000000000,£455.94,£1.30
3865,930,1003,1.0784946236559140,£923.37,£0.99
12422,255,285,1.1176470588235294,£557.30,£2.19
9949,538,857,1.5929368029739777,"£1,005.85",£1.87
674,240,304,1.2666666666666667,£352.74,£1.47
9966,240,260,1.0833333333333333,£770.67,£3.21
5358,345,415,1.2028985507246377,£445.76,£1.29
5356,278,331,1.1906474820143885,£479.74,£1.73
12432,434,497,1.1451612903225806,"£1,000.86",£2.31
3870,135,155,1.1481481481481481,£207.25,£1.54
687,255,271,1.0627450980392157,£342.00,£1.34
12437,318,388,1.2201257861635220,£523.10,£1.64
12434,584,647,1.1078767123287671,£731.09,£1.25
5360,646,752,1.1640866873065015,"£1,133.99",£1.76
7257,223,281,1.2600896860986547,£358.53,£1.61
697,691,750,1.0853835021707670,£875.45,£1.27
704,899,1002,1.1145717463848721,"£1,203.00",£1.34
711,901,1235,1.3706992230854606,"£1,335.38",£1.48
717,266,283,1.0639097744360902,£329.87,£1.24
8796,242,339,1.4008264462809917,£587.85,£2.43
12440,292,323,1.1061643835616438,£359.26,£1.23
7251,534,598,1.1198501872659176,£552.33,£1.03
712,133,149,1.1203007518796992,£196.23,£1.48
8789,853,989,1.1594372801875733,"£1,191.74",£1.40
11140,709,742,1.0465444287729196,£914.08,£1.29
14398,208,241,1.1586538461538462,£234.89,£1.13
7263,287,301,1.0487804878048780,£378.96,£1.32
12443,255,300,1.1764705882352941,£401.40,£1.57
9974,456,528,1.1578947368421053,"£1,041.27",£2.28
9975,1110,1380,1.2432432432432432,"£1,474.29",£1.33
11889,370,433,1.1702702702702703,£420.25,£1.14
7250,772,894,1.1580310880829016,£862.86,£1.12
9977,440,541,1.2295454545454545,£966.41,£2.20
3877,228,269,1.1798245614035088,£328.90,£1.44
724,515,618,1.2000000000000000,£588.34,£1.14
11607,531,726,1.3672316384180791,£895.64,£1.69
7276,637,751,1.1789638932496075,£998.96,£1.57
725,245,302,1.2326530612244898,£834.38,£3.41
3881,352,415,1.1789772727272727,£466.07,£1.32
12450,347,389,1.1210374639769452,£573.15,£1.65
15554,196,302,1.5408163265306122,£749.58,£3.82
5363,496,513,1.0342741935483871,"£1,223.10",£2.47
732,370,398,1.0756756756756757,£461.64,£1.25
5364,576,728,1.2638888888888889,£916.41,£1.59
9985,423,484,1.1442080378250591,£647.15,£1.53
734,451,556,1.2328159645232816,£772.77,£1.71
5365,412,464,1.1262135922330097,£802.48,£1.95
12452,560,615,1.0982142857142857,£759.27,£1.36
12453,142,185,1.3028169014084507,£329.53,£2.32
735,474,535,1.1286919831223629,£540.71,£1.14
7269,487,598,1.2279260780287474,£593.55,£1.22
737,720,857,1.1902777777777778,"£1,128.48",£1.57
752,773,915,1.1836998706338939,£680.61,£0.88
746,415,508,1.2240963855421687,£523.14,£1.26
15960,167,173,1.0359281437125749,£408.31,£2.44
15556,425,547,1.2870588235294118,£615.99,£1.45
11615,271,338,1.2472324723247232,£470.13,£1.73
6536,718,927,1.2910863509749304,£890.69,£1.24
6541,628,714,1.1369426751592357,"£1,083.71",£1.73
9983,144,163,1.1319444444444444,£194.73,£1.35
6537,259,312,1.2046332046332046,£648.05,£2.50
3887,777,945,1.2162162162162162,£802.09,£1.03
7289,978,1106,1.1308793456032720,"£1,150.69",£1.18
12473,260,313,1.2038461538461538,£418.61,£1.61
15963,208,305,1.4663461538461538,£859.01,£4.13
12467,52,54,1.0384615384615385,£80.58,£1.55
759,138,161,1.1666666666666667,£214.95,£1.56
7280,657,716,1.0898021308980213,£720.28,£1.10
8799,1014,1461,1.4408284023668639,"£1,319.83",£1.30
14907,299,313,1.0468227424749164,£407.03,£1.36
755,51,55,1.0784313725490196,£73.75,£1.45
12474,146,192,1.3150684931506849,£241.89,£1.66
11408,377,452,1.1989389920424403,£569.09,£1.51
8814,944,1299,1.3760593220338983,"£2,769.62",£2.93
777,65,75,1.1538461538461538,£105.36,£1.62
3892,928,1020,1.0991379310344828,"£1,161.85",£1.25
3902,313,364,1.1629392971246006,£457.41,£1.46
5373,157,190,1.2101910828025478,£196.83,£1.25
6538,277,315,1.1371841155234657,£936.54,£3.38
770,348,411,1.1810344827586207,£397.04,£1.14
12476,297,525,1.7676767676767677,£616.57,£2.08
15966,507,514,1.0138067061143984,£450.86,£0.89
3893,509,606,1.1905697445972495,£744.33,£1.46
14407,142,159,1.1197183098591549,£199.02,£1.40
11895,168,181,1.0773809523809524,£186.22,£1.11
11204,528,701,1.3276515151515152,"£1,081.48",£2.05
5378,1569,1973,1.2574888463989802,"£1,948.03",£1.24
11894,23,31,1.3478260869565217,£90.46,£3.93
788,191,221,1.1570680628272251,£249.55,£1.31
7307,1143,1159,1.0139982502187227,"£1,027.92",£0.90
14909,57,64,1.1228070175438596,£92.16,£1.62
5377,921,990,1.0749185667752443,"£1,660.63",£1.80
11641,897,1274,1.4202898550724638,"£1,296.18",£1.45
786,614,641,1.0439739413680782,£444.80,£0.72
12482,230,291,1.2652173913043478,£414.47,£1.80
8812,616,754,1.2240259740259740,£795.28,£1.29
7302,611,800,1.3093289689034370,"£1,298.83",£2.13
787,1010,1157,1.1455445544554455,"£1,232.69",£1.22
11896,172,240,1.3953488372093023,"£1,028.34",£5.98
12480,349,463,1.3266475644699140,£558.20,£1.60
10008,443,599,1.3521444695259594,"£1,073.48",£2.42
7303,548,611,1.1149635036496350,£795.13,£1.45
15967,468,617,1.3183760683760684,£663.17,£1.42
7299,215,309,1.4372093023255814,£637.84,£2.97
12489,649,696,1.0724191063174114,£713.64,£1.10
795,104,146,1.4038461538461538,£148.71,£1.43
12485,176,216,1.2272727272727273,£533.74,£3.03
12490,115,149,1.2956521739130435,£190.77,£1.66
12483,229,263,1.1484716157205240,£285.57,£1.25
14910,100,125,1.2500000000000000,£384.97,£3.85
14412,82,87,1.0609756097560976,£193.27,£2.36
14409,116,231,1.9913793103448276,£689.80,£5.95
8813,439,502,1.1435079726651481,£985.80,£2.25
9564,673,772,1.1471025260029718,"£1,158.77",£1.72
808,456,488,1.0701754385964912,£412.31,£0.90
827,485,547,1.1278350515463918,£412.21,£0.85
8819,192,219,1.1406250000000000,£688.11,£3.58
838,317,465,1.4668769716088328,£625.43,£1.97
828,649,694,1.0693374422187982,£762.72,£1.18
15972,481,507,1.0540540540540541,£859.78,£1.79
15970,260,367,1.4115384615384615,"£1,275.25",£4.90
7314,878,943,1.0740318906605923,£868.60,£0.99
832,506,723,1.4288537549407115,£577.26,£1.14
7329,722,861,1.1925207756232687,"£1,320.63",£1.83
7330,258,322,1.2480620155038760,£429.66,£1.67
825,184,192,1.0434782608695652,£284.43,£1.55
7331,657,830,1.2633181126331811,"£1,100.11",£1.67
846,585,716,1.2239316239316239,£998.30,£1.71
848,450,486,1.0800000000000000,£522.05,£1.16
11362,692,781,1.1286127167630058,£906.54,£1.31
850,225,251,1.1155555555555556,£240.01,£1.07
12510,188,241,1.2819148936170213,£342.82,£1.82
12508,306,399,1.3039215686274510,£322.98,£1.06
5393,463,593,1.2807775377969762,£666.49,£1.44
12511,193,197,1.0207253886010363,£397.94,£2.06
11565,37,40,1.0810810810810811,£156.61,£4.23
12522,233,322,1.3819742489270386,£446.11,£1.91
12517,379,430,1.1345646437994723,£505.22,£1.33
11249,834,978,1.1726618705035971,"£1,416.04",£1.70
12520,339,549,1.6194690265486726,£312.17,£0.92
858,447,529,1.1834451901565996,£601.44,£1.35
15568,306,461,1.5065359477124183,£401.61,£1.31
10000,1465,1746,1.1918088737201365,"£1,511.49",£1.03
11559,205,244,1.1902439024390244,£336.13,£1.64
12523,431,546,1.2668213457076566,£943.12,£2.19
859,197,239,1.2131979695431472,£283.32,£1.44
7334,821,909,1.1071863580998782,"£1,075.83",£1.31
14920,54,64,1.1851851851851852,£80.14,£1.48
3940,170,192,1.1294117647058824,£208.93,£1.23
10945,915,985,1.0765027322404372,"£1,019.16",£1.11
867,232,276,1.1896551724137931,£236.66,£1.02
12530,629,705,1.1208267090620032,£928.01,£1.48
15571,548,711,1.2974452554744526,£532.34,£0.97
15978,301,460,1.5282392026578073,£427.17,£1.42
5399,319,391,1.2257053291536050,£709.09,£2.22
11572,174,217,1.2471264367816092,£304.30,£1.75
14922,49,56,1.1428571428571429,£129.85,£2.65
15573,273,344,1.2600732600732601,£436.42,£1.60
3945,783,876,1.1187739463601533,"£1,410.78",£1.80
11114,1271,1806,1.4209284028324154,"£2,272.90",£1.79
12537,482,562,1.1659751037344398,£609.98,£1.27
7336,500,588,1.1760000000000000,£710.22,£1.42
11190,512,754,1.4726562500000000,£802.29,£1.57
871,649,949,1.4622496147919877,£940.31,£1.45
12538,150,177,1.1800000000000000,£193.48,£1.29
11706,380,431,1.1342105263157895,£639.24,£1.68
5407,300,392,1.3066666666666667,£394.17,£1.31
12541,764,851,1.1138743455497382,£800.43,£1.05
3947,417,496,1.1894484412470024,"£1,062.33",£2.55
872,464,509,1.0969827586206897,£637.97,£1.37
15980,435,491,1.1287356321839080,£607.10,£1.40
10822,570,669,1.1736842105263158,£849.23,£1.49
10013,584,729,1.2482876712328767,£892.16,£1.53
7346,133,165,1.2406015037593985,£328.78,£2.47
11349,570,619,1.0859649122807018,£984.66,£1.73
3953,379,494,1.3034300791556728,£472.10,£1.25
3949,493,653,1.3245436105476673,£946.69,£1.92
12545,677,827,1.2215657311669129,"£1,558.85",£2.30
8833,1369,1488,1.0869247626004383,"£1,843.62",£1.35
8836,443,458,1.0338600451467269,£535.01,£1.21
7345,1073,1271,1.1845293569431500,"£1,791.58",£1.67
7342,601,663,1.1031613976705491,"£1,151.77",£1.92
12548,207,276,1.3333333333333333,£634.35,£3.06
6558,310,325,1.0483870967741935,£427.77,£1.38
7365,266,315,1.1842105263157895,£535.76,£2.01
896,283,338,1.1943462897526502,£401.89,£1.42
8841,968,1228,1.2685950413223140,"£1,537.90",£1.59
7362,448,494,1.1026785714285714,£854.09,£1.91
8844,836,1001,1.1973684210526316,£872.67,£1.04
12557,849,1076,1.2673733804475854,"£1,852.91",£2.18
898,624,689,1.1041666666666667,"£1,007.53",£1.61
11038,976,1494,1.5307377049180328,"£1,739.10",£1.78
12550,394,416,1.0558375634517766,£459.48,£1.17
10015,249,263,1.0562248995983936,£748.73,£3.01
11194,1368,1708,1.2485380116959064,"£1,906.69",£1.39
12563,159,211,1.3270440251572327,£251.01,£1.58
3967,130,153,1.1769230769230769,£229.34,£1.76
11676,696,821,1.1795977011494253,"£1,116.30",£1.60
912,311,416,1.3376205787781350,£592.45,£1.90
12562,101,109,1.0792079207920792,£183.27,£1.81
11357,246,268,1.0894308943089431,£332.91,£1.35
14427,529,643,1.2155009451795841,£766.43,£1.45
914,580,700,1.2068965517241379,£753.79,£1.30
905,1053,1173,1.1139601139601140,"£1,535.30",£1.46
906,322,367,1.1397515527950311,£472.62,£1.47
910,565,654,1.1575221238938053,£711.94,£1.26
14931,537,609,1.1340782122905028,£890.19,£1.66
7359,406,494,1.2167487684729064,£549.37,£1.35
3961,1591,2042,1.2834695160276556,"£1,957.82",£1.23
12569,637,826,1.2967032967032967,"£1,429.72",£2.24
12570,312,378,1.2115384615384615,£701.70,£2.25
14932,525,553,1.0533333333333333,£766.66,£1.46
919,126,207,1.6428571428571429,£242.00,£1.92
15588,376,474,1.2606382978723404,£503.07,£1.34
925,54,67,1.2407407407407407,£81.76,£1.51
11592,769,861,1.1196358907672302,"£1,793.09",£2.33
14428,418,493,1.1794258373205742,£541.97,£1.30
12574,208,335,1.6105769230769231,£777.49,£3.74
6562,1083,1302,1.2022160664819945,"£1,510.24",£1.39
10022,1785,1911,1.0705882352941176,"£2,602.79",£1.46
921,895,1068,1.1932960893854749,"£1,342.48",£1.50
8840,2040,2409,1.1808823529411765,"£2,431.70",£1.19
3978,802,871,1.0860349127182045,£962.44,£1.20
12576,260,314,1.2076923076923077,£248.98,£0.96
3968,106,125,1.1792452830188679,£270.42,£2.55
12573,243,303,1.2469135802469136,£315.77,£1.30
10023,620,712,1.1483870967741935,"£1,110.96",£1.79
937,493,621,1.2596348884381339,"£1,155.45",£2.34
942,362,436,1.2044198895027624,£646.40,£1.79
3973,195,234,1.2000000000000000,£316.60,£1.62
5431,828,907,1.0954106280193237,"£1,060.20",£1.28
935,489,576,1.1779141104294479,£576.91,£1.18
8851,347,394,1.1354466858789625,£839.89,£2.42
11905,179,236,1.3184357541899441,£232.58,£1.30
945,180,237,1.3166666666666667,£328.02,£1.82
5426,1000,1139,1.1390000000000000,"£1,253.95",£1.25
7372,424,485,1.1438679245283019,£581.24,£1.37
946,634,746,1.1766561514195584,"£1,055.42",£1.66
951,305,327,1.0721311475409836,£338.90,£1.11
7379,652,745,1.1426380368098160,£892.35,£1.37
8862,1378,1746,1.2670537010159652,"£1,560.77",£1.13
6565,767,960,1.2516297262059974,"£1,764.45",£2.30
10030,681,795,1.1674008810572687,"£1,216.85",£1.79
953,378,415,1.0978835978835979,£457.60,£1.21
7368,160,170,1.0625000000000000,£223.53,£1.40
11649,497,543,1.0925553319919517,£810.44,£1.63
5869,116,133,1.1465517241379310,£378.46,£3.26
3990,409,538,1.3154034229828851,£679.86,£1.66
12596,262,346,1.3206106870229008,£404.90,£1.55
3997,465,625,1.3440860215053763,£677.43,£1.46
5440,83,95,1.1445783132530120,£156.13,£1.88
972,170,200,1.1764705882352941,£183.61,£1.08
977,714,803,1.1246498599439776,"£1,239.92",£1.74
974,445,593,1.3325842696629213,£843.44,£1.90
10862,363,405,1.1157024793388430,£444.70,£1.23
11530,1514,2089,1.3797886393659181,"£3,057.17",£2.02
7384,1040,1124,1.0807692307692308,"£1,076.40",£1.04
12598,467,548,1.1734475374732334,£620.03,£1.33
8863,876,951,1.0856164383561644,£894.55,£1.02
7385,1433,1600,1.1165387299371947,"£1,982.45",£1.38
7386,1020,1262,1.2372549019607843,"£2,196.03",£2.15
12606,417,466,1.1175059952038369,£623.55,£1.50
10873,734,857,1.1675749318801090,"£1,758.91",£2.40
10041,210,250,1.1904761904761905,£378.72,£1.80
11524,489,582,1.1901840490797546,£926.40,£1.89
1379,128,154,1.2031250000000000,£415.21,£3.24
12611,421,480,1.1401425178147268,£512.60,£1.22
5871,248,318,1.2822580645161290,£369.35,£1.49
12613,151,230,1.5231788079470199,£346.90,£2.30
14442,394,479,1.2157360406091371,£607.05,£1.54
12616,504,572,1.1349206349206349,£446.74,£0.89
12618,255,292,1.1450980392156863,£839.88,£3.29
4006,126,144,1.1428571428571429,£223.90,£1.78
5460,767,976,1.2724902216427640,"£2,134.11",£2.78
7401,322,354,1.0993788819875776,£431.64,£1.34
7399,223,275,1.2331838565022422,£381.09,£1.71
14445,69,85,1.2318840579710145,£250.02,£3.62
14444,319,394,1.2351097178683386,£622.47,£1.95
5453,352,443,1.2585227272727273,£560.30,£1.59
9588,682,769,1.1275659824046921,£608.84,£0.89
5455,359,430,1.1977715877437326,£565.47,£1.58
14951,517,602,1.1644100580270793,£719.15,£1.39
6569,627,723,1.1531100478468900,£915.44,£1.46
12628,436,555,1.2729357798165138,£819.58,£1.88
7414,574,661,1.1515679442508711,£906.24,£1.58
4020,389,421,1.0822622107969152,£380.33,£0.98
1008,1842,2104,1.1422366992399566,"£2,365.36",£1.28
1019,688,738,1.0726744186046512,"£1,407.43",£2.05
6566,556,595,1.0701438848920863,£506.97,£0.91
14446,502,538,1.0717131474103586,£527.07,£1.05
8876,226,287,1.2699115044247788,£418.29,£1.85
5457,393,401,1.0203562340966921,£378.04,£0.96
7405,637,814,1.2778649921507064,£878.72,£1.38
1018,819,963,1.1758241758241758,£970.06,£1.18
1024,143,153,1.0699300699300699,£151.19,£1.06
12635,347,469,1.3515850144092219,£770.97,£2.22
1015,81,109,1.3456790123456790,£132.48,£1.64
11911,251,345,1.3745019920318725,£546.41,£2.18
1037,376,447,1.1888297872340426,£511.63,£1.36
1030,159,196,1.2327044025157233,£181.34,£1.14
15596,233,398,1.7081545064377682,£617.60,£2.65
7406,633,801,1.2654028436018957,"£1,164.53",£1.84
7407,495,635,1.2828282828282828,"£1,068.68",£2.16
4024,119,180,1.5126050420168067,£225.69,£1.90
4025,440,513,1.1659090909090909,£618.19,£1.40
5470,759,906,1.1936758893280632,"£1,225.72",£1.61
12640,353,395,1.1189801699716714,£354.48,£1.00
12641,624,743,1.1907051282051282,"£1,007.27",£1.61
12644,253,339,1.3399209486166008,£339.94,£1.34
4028,526,610,1.1596958174904943,£540.47,£1.03
4030,598,637,1.0652173913043478,£616.60,£1.03
7418,534,648,1.2134831460674157,£769.81,£1.44
7428,294,404,1.3741496598639456,£533.02,£1.81
11701,116,125,1.0775862068965517,£253.93,£2.19
1043,557,670,1.2028725314183124,£769.18,£1.38
1045,103,133,1.2912621359223301,£166.05,£1.61
11816,24,29,1.2083333333333333,£71.45,£2.98
1046,565,710,1.2566371681415929,"£1,286.67",£2.28
12647,544,714,1.3125000000000000,£684.57,£1.26
12650,77,106,1.3766233766233766,£129.82,£1.69
11475,1757,2363,1.3449060899260102,"£4,446.80",£2.53
5467,1074,1572,1.4636871508379888,"£1,228.99",£1.14
7422,179,210,1.1731843575418994,£310.90,£1.74
1050,205,240,1.1707317073170732,£391.68,£1.91
11286,448,509,1.1361607142857143,£757.95,£1.69
14962,274,297,1.0839416058394161,£300.24,£1.10
14963,279,364,1.3046594982078853,£264.19,£0.95
6573,1082,1298,1.1996303142329020,"£1,877.72",£1.74
5472,385,412,1.0701298701298701,£470.03,£1.22
1060,384,432,1.1250000000000000,£668.68,£1.74
7436,343,381,1.1107871720116618,£569.09,£1.66
4035,263,372,1.4144486692015209,£451.81,£1.72
11560,726,789,1.0867768595041322,£713.41,£0.98
7433,355,442,1.2450704225352113,£567.57,£1.60
12657,298,358,1.2013422818791946,£439.40,£1.47
1071,300,351,1.1700000000000000,£358.14,£1.19
16002,219,328,1.4977168949771689,£285.15,£1.30
1064,465,541,1.1634408602150538,£783.87,£1.69
15601,200,315,1.5750000000000000,£376.16,£1.88
1074,275,317,1.1527272727272727,£349.87,£1.27
1073,642,722,1.1246105919003115,£848.79,£1.32
1075,232,271,1.1681034482758621,£271.20,£1.17
12668,1058,1336,1.2627599243856333,"£1,310.12",£1.24
11288,885,1012,1.1435028248587571,"£1,179.40",£1.33
1076,429,437,1.0186480186480186,£418.58,£0.98
10072,134,163,1.2164179104477612,£425.52,£3.18
1083,406,495,1.2192118226600985,£647.31,£1.59
14967,854,1032,1.2084309133489461,"£2,000.22",£2.34
5492,314,348,1.1082802547770701,£395.92,£1.26
1081,372,417,1.1209677419354839,£403.79,£1.09
7435,365,394,1.0794520547945205,£529.04,£1.45
11441,668,725,1.0853293413173653,£885.02,£1.32
4047,729,1143,1.5679012345679012,"£1,318.51",£1.81
5485,229,264,1.1528384279475983,£507.06,£2.21
1078,224,253,1.1294642857142857,£215.26,£0.96
11164,1027,1319,1.2843232716650438,"£1,636.50",£1.59
7448,422,487,1.1540284360189573,£550.85,£1.31
1540,32,39,1.2187500000000000,£113.93,£3.56
6022,57,62,1.0877192982456140,£80.27,£1.41
12675,164,224,1.3658536585365854,£206.65,£1.26
4042,279,347,1.2437275985663082,£370.11,£1.33
15604,603,807,1.3383084577114428,£813.44,£1.35
7460,397,511,1.2871536523929471,£858.84,£2.16
9584,262,308,1.1755725190839695,£566.06,£2.16
7458,718,1203,1.6754874651810585,"£1,418.84",£1.98
4044,344,360,1.0465116279069767,£499.76,£1.45
7454,691,785,1.1360347322720695,"£1,020.59",£1.48
1096,286,340,1.1888111888111888,£582.47,£2.04
15605,174,238,1.3678160919540230,£297.12,£1.71
7462,872,1004,1.1513761467889908,£941.29,£1.08
1089,65,91,1.4000000000000000,£154.58,£2.38
4045,777,1117,1.4375804375804376,"£1,123.24",£1.45
12682,221,283,1.2805429864253394,£753.60,£3.41
14974,213,241,1.1314553990610329,£399.03,£1.87
11180,323,389,1.2043343653250774,£579.90,£1.80
10086,249,283,1.1365461847389558,£286.69,£1.15
12687,878,1112,1.2665148063781321,"£1,218.95",£1.39
10087,777,920,1.1840411840411840,"£1,486.08",£1.91
11265,642,790,1.2305295950155763,£886.35,£1.38
5502,490,546,1.1142857142857143,"£1,179.91",£2.41
5503,175,219,1.2514285714285714,£399.28,£2.28
4051,380,479,1.2605263157894737,£468.61,£1.23
9586,565,704,1.2460176991150442,£709.25,£1.26
14976,356,470,1.3202247191011236,£506.23,£1.42
1101,317,360,1.1356466876971609,£588.01,£1.85
8893,620,790,1.2741935483870968,"£1,017.45",£1.64
1113,575,713,1.2400000000000000,£662.78,£1.15
9587,661,765,1.1573373676248109,"£2,683.55",£4.06
1117,383,454,1.1853785900783290,£437.21,£1.14
4053,303,447,1.4752475247524752,£764.75,£2.52
1118,621,673,1.0837359098228663,£767.90,£1.24
1109,468,552,1.1794871794871795,£777.76,£1.66
10093,886,916,1.0338600451467269,"£1,047.19",£1.18
10094,459,546,1.1895424836601307,£511.30,£1.11
14979,114,137,1.2017543859649123,£192.58,£1.69
7470,369,409,1.1084010840108401,£560.75,£1.52
12693,290,380,1.3103448275862069,£655.87,£2.26
5501,884,967,1.0938914027149321,"£1,433.92",£1.62
1121,191,211,1.1047120418848168,£332.57,£1.74
5498,764,953,1.2473821989528796,"£1,623.21",£2.12
10098,538,584,1.0855018587360595,£925.02,£1.72
1122,1040,1210,1.1634615384615385,"£1,150.55",£1.11
5518,348,472,1.3563218390804598,£856.56,£2.46
4063,625,712,1.1392000000000000,"£1,371.35",£2.19
1129,502,606,1.2071713147410359,£877.87,£1.75
1128,316,358,1.1329113924050633,£845.68,£2.68
4066,211,255,1.2085308056872038,£260.56,£1.23
12703,322,414,1.2857142857142857,£762.04,£2.37
12705,726,905,1.2465564738292011,"£1,078.31",£1.49
12707,168,188,1.1190476190476190,£271.63,£1.62
4070,638,750,1.1755485893416928,£942.68,£1.48
7479,211,234,1.1090047393364929,£331.45,£1.57
15609,378,417,1.1031746031746032,£759.98,£2.01
4073,885,931,1.0519774011299435,£874.03,£0.99
4069,294,318,1.0816326530612245,£592.48,£2.02
5512,496,666,1.3427419354838710,£979.90,£1.98
4075,290,361,1.2448275862068966,£620.61,£2.14
7484,243,265,1.0905349794238683,£300.80,£1.24
12711,232,253,1.0905172413793103,£390.50,£1.68
7478,201,236,1.1741293532338308,£283.38,£1.41
8888,515,611,1.1864077669902913,£832.38,£1.62
14459,177,208,1.1751412429378531,£473.88,£2.68
9592,1051,1131,1.0761179828734539,"£1,259.41",£1.20
14984,116,132,1.1379310344827586,£202.74,£1.75
1147,335,401,1.1970149253731343,£439.69,£1.31
14982,170,235,1.3823529411764706,£200.68,£1.18
1143,454,599,1.3193832599118943,£520.02,£1.15
1145,294,345,1.1734693877551020,£488.66,£1.66
12719,803,1010,1.2577833125778331,"£1,120.64",£1.40
5510,370,457,1.2351351351351351,£606.42,£1.64
12721,73,90,1.2328767123287671,£162.69,£2.23
6590,520,595,1.1442307692307692,£474.88,£0.91
9593,452,521,1.1526548672566372,£713.45,£1.58
7494,684,824,1.2046783625730994,£867.80,£1.27
7499,713,763,1.0701262272089762,£633.48,£0.89
4084,205,270,1.3170731707317073,£289.13,£1.41
1152,939,1208,1.2864749733759318,"£1,557.49",£1.66
1149,902,1206,1.3370288248337029,"£1,333.99",£1.48
6587,522,581,1.1130268199233716,£968.42,£1.86
6588,405,471,1.1629629629629630,£420.49,£1.04
4083,587,632,1.0766609880749574,£603.63,£1.03
10107,579,718,1.2400690846286701,£702.47,£1.21
4079,1224,1627,1.3292483660130719,"£1,898.04",£1.55
4082,169,237,1.4023668639053254,£244.61,£1.45
12733,377,598,1.5862068965517241,£550.72,£1.46
8911,1283,1440,1.1223694466095090,"£2,300.17",£1.79
1163,326,396,1.2147239263803681,£302.99,£0.93
12731,234,259,1.1068376068376068,£375.70,£1.61
10108,834,959,1.1498800959232614,"£1,359.91",£1.63
1168,668,808,1.2095808383233533,£982.61,£1.47
7518,403,541,1.3424317617866005,£835.54,£2.07
12738,383,442,1.1540469973890339,£573.47,£1.50
7513,157,226,1.4394904458598726,£252.64,£1.61
12735,283,494,1.7455830388692580,£452.87,£1.60
8909,527,629,1.1935483870967742,£951.67,£1.81
12739,178,236,1.3258426966292135,£418.04,£2.35
1172,627,689,1.0988835725677831,£881.68,£1.41
4086,409,516,1.2616136919315403,£511.97,£1.25
10113,572,617,1.0786713286713287,£863.77,£1.51
10114,266,305,1.1466165413533835,£485.51,£1.83
1174,189,226,1.1957671957671958,£291.55,£1.54
6600,505,637,1.2613861386138614,"£1,089.90",£2.16
5530,298,350,1.1744966442953020,£614.84,£2.06
11456,2051,2080,1.0141394441735739,"£2,869.27",£1.40
5542,317,355,1.1198738170347003,£431.30,£1.36
14995,313,394,1.2587859424920128,£559.30,£1.79
12746,409,429,1.0488997555012225,£463.96,£1.13
7516,1549,2052,1.3247256294383473,"£3,676.46",£2.37
4098,291,329,1.1305841924398625,£470.53,£1.62
12744,1129,1414,1.2524357838795394,"£1,397.35",£1.24
5540,497,548,1.1026156941649899,£485.66,£0.98
14464,139,175,1.2589928057553957,£250.08,£1.80
10129,385,527,1.3688311688311688,£568.76,£1.48
7517,344,386,1.1220930232558140,£438.96,£1.28
12753,297,333,1.1212121212121212,£638.39,£2.15
9600,715,851,1.1902097902097902,"£1,052.42",£1.47
5533,295,374,1.2677966101694915,£420.16,£1.42
15616,211,233,1.1042654028436019,£279.60,£1.33
1195,635,768,1.2094488188976378,£780.54,£1.23
11753,95,102,1.0736842105263158,£406.99,£4.28
15617,182,188,1.0329670329670330,£282.17,£1.55
7531,233,268,1.1502145922746781,£361.23,£1.55
1201,546,684,1.2527472527472527,£976.10,£1.79
8912,1925,2475,1.2857142857142857,"£3,764.81",£1.96
1206,956,1108,1.1589958158995816,£870.15,£0.91
9611,1766,2046,1.1585503963759909,"£2,597.04",£1.47
14998,129,144,1.1162790697674419,£218.99,£1.70
